site,month,date
01M01,June,2021-06-05
01M02,June,2021-06-05
01M03,June,2021-06-06
01M04,June,2021-06-06
01M05,June,2021-06-06
01M06,June,2021-06-06
02M01,June,2021-06-05
02M02,June,2021-06-05
02M03,June,2021-06-05
02M04,June,2021-06-05
02M05,June,2021-06-05
02M06,June,2021-06-06
02M07,June,2021-06-06
02M08,June,2021-06-06
02M09,June,2021-06-06
02M10,June,2021-06-06
02M11,June,2021-06-06
04M01,June,2021-06-03
04M01,June,2021-06-03
04M02,June,2021-06-05
04M03,June,2021-06-05
04M04,June,2021-06-05
04M05,June,2021-06-05
04M06,June,2021-06-06
04M06,June,2021-06-06
04M07,June,2021-06-06
04M08,June,2021-06-06
04M08,June,2021-06-06
04M09,June,2021-06-06
04M10,June,2021-06-06
04M11,June,2021-06-07
04M12,June,2021-06-07
04M13,June,2021-06-07
04T01,June,2021-06-04
04T02,June,2021-06-07
04W01,June,2021-06-07
04W02,June,2021-06-07
04W03,June,2021-06-07
04W04,June,2021-06-07
20M01,June,2021-06-05
20M02,June,2021-06-05
20M03,June,2021-06-05
20M04,June,2021-06-06
20M05,June,2021-06-06
SFM01,June,2021-06-04
SFM01,June,2021-06-04
SFM02,June,2021-06-04
SFM02,June,2021-06-04
SFM03,June,2021-06-05
SFM03,June,2021-06-05
SFM04,June,2021-06-05
SFM05,June,2021-06-05
SFM05,June,2021-06-05
SFM06,June,2021-06-05
SFM07,June,2021-06-05
SFM07,June,2021-06-05
SFT01,June,2021-06-06
SFT02,June,2021-06-06
01M01,July,2021-07-14
01M02,July,2021-07-14
01M03,July,2021-07-14
01M04,July,2021-07-14
01M05,July,2021-07-14
01M06,July,2021-07-14
02M01,July,2021-07-13
02M02,July,2021-07-13
02M03,July,2021-07-13
02M04,July,2021-07-13
02M05,July,2021-07-13
02M06,July,2021-07-13
02M07,July,2021-07-14
02M08,July,2021-07-14
02M09,July,2021-07-14
02M10,July,2021-07-14
02M11,July,2021-07-14
04M01,July,2021-07-14
04M01,July,2021-07-14
04M02,July,2021-07-14
04M03,July,2021-07-14
04M04,July,2021-07-14
04M05,July,2021-07-14
04M06,July,2021-07-14
04M06,July,2021-07-14
04M07,July,2021-07-14
04M08,July,2021-07-14
04M08,July,2021-07-14
04M09,July,2021-07-14
04M10,July,2021-07-14
04M11,July,2021-07-14
04M12,July,2021-07-14
04M13,July,2021-07-14
04T01,July,2021-07-14
04T02,July,2021-07-14
04W01,July,2021-07-14
04W02,July,2021-07-14
04W03,July,2021-07-14
04W04,July,2021-07-14
20M01,July,2021-07-13
20M02,July,2021-07-13
20M03,July,2021-07-13
20M04,July,2021-07-13
20M05,July,2021-07-14
SFM01,July,2021-07-13
SFM01,July,2021-07-13
SFM02,July,2021-07-13
SFM02,July,2021-07-13
SFM03,July,2021-07-13
SFM03,July,2021-07-13
SFM04,July,2021-07-13
SFM05,July,2021-07-13
SFM05,July,2021-07-13
SFM06,July,2021-07-13
SFM07,July,2021-07-13
SFM07,July,2021-07-13
SFT01,July,2021-07-13
SFT02,July,2021-07-13
01M01,August,2021-08-10
01M02,August,2021-08-10
01M03,August,2021-08-11
01M04,August,2021-08-11
01M05,August,2021-08-11
01M06,August,2021-08-11
02M01,August,2021-08-11
02M02,August,2021-08-11
02M03,August,2021-08-11
02M04,August,2021-08-11
02M05,August,2021-08-12
02M06,August,2021-08-12
02M07,August,2021-08-12
02M08,August,2021-08-11
02M09,August,2021-08-11
02M10,August,2021-08-11
02M11,August,2021-08-11
04M01,August,2021-08-11
04M01,August,2021-08-11
04M02,August,2021-08-11
04M03,August,2021-08-11
04M04,August,2021-08-11
04M05,August,2021-08-11
04M06,August,2021-08-12
04M06,August,2021-08-12
04M07,August,2021-08-12
04M08,August,2021-08-12
04M08,August,2021-08-12
04M09,August,2021-08-11
04M10,August,2021-08-11
04M11,August,2021-08-11
04M12,August,2021-08-11
04M13,August,2021-08-11
04T01,August,2021-08-11
04T02,August,2021-08-11
04W01,August,2021-08-11
04W02,August,2021-08-11
04W03,August,2021-08-11
04W04,August,2021-08-11
20M01,August,2021-08-10
20M02,August,2021-08-10
20M03,August,2021-08-10
20M04,August,2021-08-10
20M05,August,2021-08-11
SFM01,August,2021-08-10
SFM01,August,2021-08-10
SFM02,August,2021-08-10
SFM02,August,2021-08-10
SFM03,August,2021-08-10
SFM03,August,2021-08-10
SFM04,August,2021-08-10
SFM05,August,2021-08-10
SFM05,August,2021-08-10
SFM06,August,2021-08-10
SFM07,August,2021-08-10
SFM07,August,2021-08-10
SFT01,August,2021-08-10
SFT02,August,2021-08-10
