Name,SiteID,SpringSeepClass,Date,LATdegN ,LONGdegW,Stream
N4D SEEP 1,N4D Seep 1,3,4/27/2021,39.085177,-96.582019,N4D
N4D SEEP 2,N4D Seep 2,3,4/27/2021,39.084813,-96.582343,N4D
N4D SEEP 4,N4D Seep 4,1,4/27/2021,39.081253,-96.582187,N4D
N4D SEEP 5,N4D Seep 5,2,4/27/2021,39.081097,-96.581801,N4D
N4D SEEP 3,N4D Seep 3,2,4/27/2021,39.084095,-96.583505,N4D
N4D W SEEP 1,N4D W Seep 1,1,4/27/2021,39.08386,-96.588023,N4D W
N4D W SEEP 2,N4D W Seep 2,3,4/27/2021,39.082444,-96.588688,N4D W
N4D W SEEP 3,N4D W Seep 3,1,4/27/2021,39.08228,-96.588608,N4D W
N4D W SEEP 4,N4D W Seep 4,2,4/27/2021,39.082222,-96.588666,N4D W
N2B SEEP A,N2B Seep 4,2,4/27/2021,39.081953,-96.593539,N2B
N2B SEEP B,N2B Seep 5,3,4/27/2021,39.079066,-96.593867,N2B
N2B SEEP C,N2B Seep 6,1,4/27/2021,39.079067,-96.593386,N2B
N2B SEEP D,N2B Seep 3,2,4/27/2021,39.08468,-96.593505,N2B
N2B SEEP F,N2B Seep 2,2,4/27/2021,39.086468,-96.592505,N2B
N2B SEEP G,N2B Seep 1,1,4/27/2021,39.086892,-96.59083,N2B
