siteID,n_wet,n_total,prc_missing,prc_wet,tempC_mean
01M01_1,16394,26182,0.535590755095163,0.6261553739210144,14.036316171415477
01M02_1,4072,47674,0.15437146354009615,0.08541343289843521,16.79887821454042
01M02_2,10739,10776,0.8088582223247068,0.9965664439495174,15.882527839643652
01M03_1,2322,38271,0.3211593380279192,0.06067257192129811,16.02322855425779
01M03_2,9283,40519,0.28128492115579046,0.22910239640662405,14.839800587378761
01M04_2,11530,39571,0.2981002891249978,0.291374996841121,14.933316064794925
01M05_1,18449,21654,0.6159071961970307,0.8519903943844094,17.020088205412396
01M06_1,15095,55215,0.02061124217322667,0.27338585529294573,13.469735579099883
02M01_1,48,12640,0.7757950937439027,0.0037974683544303796,10.92487658227848
02M01_2,2673,38272,0.3211416002979939,0.06984218227424749,15.524695077341137
02M02_1,8738,56179,0.0035120705252141833,0.15553854643194076,14.284960928460812
02M03_1,6768,38272,0.3211416002979939,0.17683946488294314,24.285699989548498
02M04_1,7010,44983,0.20210369476914344,0.1558366494008848,11.737286308160861
02M04_2,7175,33569,0.40456214413679337,0.21373886621585392,12.16349042271143
02M05_1,12792,17915,0.6822285683878178,0.7140385152107173,10.72256042422551
02M06_1,14020,56003,0.006633910992071235,0.2503437315858079,14.455887541738836
02M06_2,25325,41918,0.256469836990262,0.6041557326208311,13.840415811823084
02M07_1,47737,55997,0.00674033737162318,0.8524920977909531,13.240962194403272
02M08_1,2595,29454,0.4775529027795023,0.0881034833978407,18.6201914850275
02M08_2,11822,55233,0.020291963034570835,0.21403870874296163,14.378920572845944
02M09_1,15063,55998,0.0067225996416978556,0.2689917497053466,13.911283081538626
02M10_1,12964,38299,0.3206626815900101,0.33849447766260216,15.055381080445965
02M10_2,21242,40534,0.2810188552069106,0.5240538806927517,13.367314106675877
02M11_1,37946,51570,0.08526526775103323,0.7358153965483808,15.68002501454334
02M11_2,41374,44947,0.2027422530464551,0.9205063741740271,15.243549958840411
04M01_1,25237,44757,0.2061124217322667,0.563867104586992,14.8227148825882
04M01_2,44628,56197,0.003192791386558348,0.7941349182340695,14.6170660355535
04M02_1,25821,44762,0.20602373308264008,0.5768509003172334,14.720898530003128
04M02_2,22132,41919,0.2564520992603367,0.5279706099859253,16.34559269066533
04M03_1,16356,26835,0.5240080174539262,0.6095025153717161,22.462031302403577
04M04_1,39688,53103,0.05807332777551129,0.7473777376042785,13.920187748338135
04M05_1,50429,56184,0.003423381875587562,0.897568702833547,13.385735440694859
04M06_1,5531,38284,0.32092874753888995,0.14447288684567966,14.354922421899488
04M06_2,21794,22614,0.5988789754687195,0.9637392765543469,14.932759352613425
04M07_1,14069,56194,0.003246004576334321,0.2503648076307079,13.726811047442787
04M08_1,54429,56153,0.003973251503272611,0.9692981675066337,13.394510533720371
04M08_2,56154,56155,0.003937776043421963,0.9999821921467367,13.590025465230166
04M09_1,13835,56154,0.003955513773347287,0.24637603732592514,14.566888734551412
04M09_2,21592,40603,0.27979495184206327,0.5317833657611507,12.9983284486368
04M10_1,12190,56175,0.00358302144491548,0.21700044503782823,13.968686782376501
04M10_2,9000,11400,0.7977898788513046,0.7894736842105263,21.387527192982457
04M11_1,4272,56174,0.003600759174840804,0.07604941788015808,14.441249510449675
04M12_1,10643,40546,0.28080600244780674,0.2624919844127657,13.889618951314556
04M12_2,11402,11402,0.797754403391454,1,19.783882652166287
04M13_1,4719,51568,0.08530074321088386,0.09151023890784983,17.224846028544835
04T01_1,2611,44751,0.20621884811181865,0.05834506491475051,16.84455475855288
04T01_2,1095,29115,0.4835659932241872,0.03760947964966512,19.051017001545596
04T02_1,8473,21129,0.6252195044078259,0.40101282597378013,13.824412892233424
04T02_2,10841,32811,0.4180073434201891,0.3304074852945659,12.054365913870349
04W01_1,1484,38281,0.32098196072866597,0.03876596745121601,16.9313808416708
04W01_2,3216,15229,0.7298721109672384,0.21117604570227855,15.320917328780615
04W02_1,3437,18747,0.6674707770899481,0.18333600042673495,14.403726996319412
04W02_2,14016,56153,0.003973251503272611,0.2496037611525653,13.762714903923209
04W03_1,9326,25932,0.540025187576494,0.35963288600956345,15.21951951257134
04W03_2,7242,15636,0.7226528548876315,0.46316193399846506,13.509854182655411
04W04_1,21593,46163,0.18117317345726094,0.46775556181357364,11.617156597274874
04W04_2,18071,56151,0.00400872696312326,0.32182864062973054,13.40840056276825
20M01_1,2331,43682,0.22518048140199018,0.05336294125726844,17.583221235291425
20M02_1,4467,55344,0.018323075012859853,0.08071335646140503,14.577362135010118
20M03_1,999,15801,0.719726129449953,0.06322384659198785,14.631158787418517
20M04_1,5125,48650,0.13705943913297977,0.10534429599177801,17.82072641315519
20M04_2,5311,51216,0.09154442414459797,0.1036980631052796,15.609416783817556
20M05_1,8275,35274,0.37431931461411566,0.23459205080229065,14.70540483075353
20M05_2,20932,56315,0.0010997392553700976,0.37169493030276124,14.743619994672823
SFM01_1,8806,36580,0.35115383933164235,0.24073264078731546,14.384595407326408
SFM01_2,16991,22615,0.5988612377387942,0.7513154985629007,14.102317930577051
SFM02_1,3505,38194,0.32252514323216913,0.09176834057705399,15.400998062522909
SFM02_2,17885,38194,0.32252514323216913,0.46826726711001726,15.296022673718385
SFM03_1,8145,46147,0.18145697713606612,0.17650118100851625,11.20251825687477
SFM03_2,12562,56099,0.004931088919240116,0.223925560170413,12.841949767375532
SFM04_1,14848,56095,0.005002039838941413,0.2646938229788751,13.115657723504768
SFM05_1,9553,36564,0.3514376430104475,0.2612679137949896,14.9488814134121
SFM05_2,18107,38091,0.32435212941447755,0.4753616339817805,13.551245963613452
SFM06_1,7701,35017,0.378877911204924,0.21992175229174402,12.905436787845904
SFM07_1,9928,54472,0.03379037550774252,0.18225877515053607,14.068354934645322
SFT01_1,5492,9953,0.8234563740532487,0.5517934291168491,21.420313473324626
SFT02_1,11834,39150,0.30556787342355923,0.3022733077905492,16.773152490421456
SFT02_2,12228,25193,0.5531333699913085,0.48537292104949786,17.947367919660223
