site,STIC,sublocation,month,windowLength_days,prcData,prcWet,meanTemp_C
01M01,01M01_1,HS,June,7,1,1,14.99187221396731
01M01,01M01_1,HS,June,14,1,1,15.526542750929368
01M01,01M01_1,HS,June,21,0.6668319286068418,1,15.526542750929368
01M02,01M02_1,HS,June,7,1,1,15.000876671619613
01M02,01M02_1,HS,June,14,1,1,15.621546468401487
01M02,01M02_1,HS,June,21,0.6668319286068418,1,15.621546468401487
01M03,01M03_1,HS,June,7,1,1,16.58707280832095
01M03,01M03_2,LS,June,7,1,1,16.297964338781576
01M03,01M03_1,HS,June,14,1,1,16.8150780669145
01M03,01M03_2,LS,June,14,1,1,16.583263940520446
01M03,01M03_1,HS,June,21,0.714427367377293,1,16.89144344205413
01M03,01M03_2,LS,June,21,0.714427367377293,1,16.665183900069398
01M04,01M04_2,LS,June,7,1,1,16.351218424962852
01M04,01M04_2,LS,June,14,1,1,16.628193308550188
01M04,01M04_2,LS,June,21,0.714427367377293,1,16.708147120055518
01M05,01M05_1,HS,June,7,1,0.9821693907875185,15.997087667161962
01M05,01M05_1,HS,June,14,1,0.9910780669144982,16.13474349442379
01M05,01M05_1,HS,June,21,0.714427367377293,0.9916724496877168,16.19757807078418
01M06,01M06_1,HS,June,7,1,1,14.768796433878158
01M06,01M06_1,HS,June,14,1,1,15.059018587360594
01M06,01M06_1,HS,June,21,0.714427367377293,1,15.157855655794586
02M01,02M01_2,LS,June,7,1,1,15.833462109955423
02M01,02M01_2,LS,June,14,1,1,16.469330855018587
02M01,02M01_2,LS,June,21,0.6668319286068418,1,16.469330855018587
02M02,02M02_1,HS,June,7,1,1,15.724992570579495
02M02,02M02_1,HS,June,14,1,1,16.301613382899628
02M02,02M02_1,HS,June,21,0.6668319286068418,1,16.301613382899628
02M03,02M03_1,HS,June,7,1,1,15.896092124814265
02M03,02M03_1,HS,June,14,1,1,16.389382899628252
02M03,02M03_1,HS,June,21,0.6668319286068418,1,16.389382899628252
02M06,02M06_1,HS,June,7,1,1,16.08588410104012
02M06,02M06_2,LS,June,7,1,1,16.019078751857354
02M06,02M06_1,HS,June,14,1,1,16.222185873605948
02M06,02M06_2,LS,June,14,1,1,16.15700371747212
02M06,02M06_1,HS,June,21,0.714427367377293,1,16.26795281054823
02M06,02M06_2,LS,June,21,0.714427367377293,1,16.203469812630118
02M07,02M07_1,HS,June,7,1,1,15.519034175334324
02M07,02M07_1,HS,June,14,1,1,15.692921933085502
02M07,02M07_1,HS,June,21,0.714427367377293,1,15.73883414295628
02M08,02M08_1,HS,June,7,1,1,15.384665676077265
02M08,02M08_2,LS,June,7,1,1,17.03635958395245
02M08,02M08_1,HS,June,14,1,1,15.593710037174722
02M08,02M08_2,LS,June,14,1,1,17.549516728624535
02M08,02M08_1,HS,June,21,0.714427367377293,1,15.6488133240805
02M08,02M08_2,LS,June,21,0.714427367377293,1,17.651908396946563
