long,lat,Description,pid
-96.6644603871998,34.434544949914816,AIMS STIC,176
-96.66019638839695,34.43946606317074,AIMS STIC,2043
-96.66129756749201,34.43850976164204,AIMS Piezo,1624
-96.66234272898747,34.43721026653592,AIMS STIC,1076
-96.66309472350943,34.43569325233494,AIMS STIC,574
-96.6539116037061,34.438793277671984,AIMS Piezo,3673
-96.65418320940289,34.43960634716257,AIMS STIC,3471
-96.6559716357672,34.4403805953515,StreamCLIMES STIC,3034
-96.65616438613007,34.44046728361826,StreamCLIMES STIC,2986
-96.6563714866521,34.440543005461365,StreamCLIMES STIC,2940
-96.65692148606685,34.44075281038295,StreamCLIMES STIC,2817
-96.6575310342049,34.44064209572543,AIMS STIC,2688
-96.658686766154,34.440204135576316,AIMS Piezo,2430
-96.65942590020963,34.439629916374635,AIMS STIC,2232
-96.65322758682993,34.437863518447244,AIMS STIC,3930
-96.65189113074321,34.436742095710656,AIMS Piezo,4313
-96.65233421988192,34.437034924046216,AIMS STIC,4202
-96.66578667783908,34.43528173144674,AIMS STIC,6170
-96.66612827747271,34.434979077574354,AIMS STIC,6067
-96.66771466403395,34.43565207636053,AIMS STIC,5448
-96.66968336490918,34.43460895984228,AIMS STIC,4858
-96.66452719460409,34.435539567280856,AIMS Piezo,6479
-96.66524915317913,34.43563002928881,AIMS Piezo,9103
-96.66579246619777,34.436046235807,AIMS STIC,8954
-96.66693764163247,34.43671957284771,AIMS STIC,8591
-96.66749766061818,34.43760212793246,AIMS STIC,8309
-96.6533737393589,34.43850141845967,AIMS STIC,9703
-96.65268024238831,34.437893206139876,AIMS STIC,10421
-96.65213313524113,34.439157609022246,AIMS STIC,10092
-96.66049206258735,34.439697937436605,AIMS Piezo,11402
-96.66054275198942,34.439744942928655,AIMS STIC,11388
