AIMS_LocationID,Description,long,lat,twi,con_area_ha,elevation_m,slope
SHA01,LTM,-96.55737848,39.11345596,15.18120384,73.2592,337.1974792,5.340493202
SHA02,STIC,-96.55782521,39.11253285,14.05936718,69.6568,339.8854675,15.26514339
SHA03,STIC,-96.55868859,39.11030263,16.04883957,57.7512,347.5068665,1.772526622
SHA04,STIC,-96.55915327,39.10689103,14.96958637,30.3092,361.2617493,2.736074924
SHB01,LTM,-96.55336247,39.1118786,16.41049194,219.0728,340.5488892,4.674443245
SHB02,STIC,-96.55270439,39.11012707,17.30496597,212.5484,344.4394531,1.857578874
SHB03,LTM,-96.55314906,39.10812484,16.54571152,198.4248,348.8109741,3.701452971
SHB04,LTM,-96.55150946,39.10589474,17.08805466,150.27,355.2128296,1.631548047
SHB05,STIC,-96.55073386,39.10356901,15.34089661,64.2656,362.9707336,3.998512268
SHB06,STIC,-96.5520817,39.10005196,14.1333437,35.7128,377.4311829,7.403832912
SHB07,LTM,-96.55196255,39.09882022,14.92945766,27.1516,382.452301,2.551641226
SHB08,STIC,-96.55166973,39.09725522,13.51188374,9.7192,391.2922058,3.766694069
SHB09,STIC,-96.54912243,39.10485085,19.07507133,75.096,362.1915283,0.111817807
SHB10,STIC,-96.54571556,39.10393225,15.20441628,54.4372,372.1344604,3.88265419
SHB11,STIC,-96.54143833,39.1027576,14.25020123,20.9116,390.5281982,3.872881413
SHB12,STIC,-96.55318695,39.10620652,13.85642242,34.2816,356.8250732,9.343556404
SHB13,STIC,-96.55445808,39.104225,14.58952236,26.7712,368.6673889,3.532325506
SHB14,STIC,-96.55018734,39.10136029,15.73594761,15.6484,373.651886,0.656913877
SHC01,LTM,-96.55273402,39.1125488,15.41051292,107.08,341.2685852,6.200127125
SHC02,STIC,-96.54971684,39.11224452,13.71718884,21.424,349.7374573,6.740371704
SHC03,STIC,-96.54859178,39.11181811,15.14996529,46.1084,351.651001,3.47371316
SHC04,STIC,-96.54470028,39.11244452,15.38855553,33.9492,363.7670898,2.016407013
SHC05,STIC,-96.54840194,39.11029967,13.22266865,29.0276,357.4309998,14.71217918
SHM01,SuperSensor,-96.55809672,39.11487344,16.74912834,433.2868,332.5023499,6.575086594
SHM02,STIC,-96.55673987,39.11508546,12.79686928,10.0996,336.6753235,7.961215973
SHM03,STIC,-96.55614905,39.11348454,16.70253372,336.884,336.2604675,5.363929749
SHM04,STIC,-96.55452005,39.11235205,17.36688805,333.65,339.1622925,2.739737749
